"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None)]" "2018-08-04 16:38:33.058633"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None)]" "2018-08-04 16:38:33.168660"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None)]" "2018-08-04 16:38:33.273070"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None)]" "2018-08-04 16:38:33.380203"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None)]" "2018-08-04 16:38:33.485478"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None)]" "2018-08-04 16:38:33.599564"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None)]" "2018-08-04 16:38:33.708926"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None)]" "2018-08-04 16:38:33.816731"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None)]" "2018-08-04 16:38:33.926904"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None)]" "2018-08-04 16:38:34.036982"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None)]" "2018-08-04 16:38:34.145519"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None)]" "2018-08-04 16:38:34.250302"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None)]" "2018-08-04 16:38:34.356665"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None)]" "2018-08-04 16:38:34.464266"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None)]" "2018-08-04 16:38:34.569766"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None)]" "2018-08-04 16:38:34.679109"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None)]" "2018-08-04 16:38:34.787046"
